Keyword,Day_of_Week,Video_Count,Avg_Views,Avg_Engagement,Median_Views,Norm_Avg_Views,Norm_Avg_Engagement,Norm_Video_Count,Timing_Opportunity_Score
cnn,Friday,6,723488.1666666666,2.6336775660650393,639344.5,0.0012213867353607082,0.2259530590975862,0.10714285714285714,0.11294278633911183
physics,Monday,8,1555608.875,2.485228846956638,1199339.5,0.0026503114994133217,0.208436688800151,0.17857142857142858,0.11284629299194682
lofi,Sunday,10,10162409.7,2.206664489062882,543443.5,0.01742998314434059,0.1755671802328781,0.25,0.1118487235197484
music,Saturday,3,1570488.3333333333,2.7869640585434765,1090694.0,0.0026758626319296295,0.24404026779816543,0.0,0.11102225869354278
movies,Saturday,4,621470.0,2.731030740511446,345729.5,0.0010462002710973392,0.23744035426238197,0.03571428571428571,0.11089037811149427
cubes,Monday,4,8136392.0,2.6120484688144674,6882792.5,0.013950888302755156,0.22340090991828881,0.03571428571428571,0.11037973777089836
google,Saturday,4,37389450.5,2.1781146120756514,13267479.5,0.06418448938528615,0.17219840601739042,0.03571428571428571,0.10994373150263304
google,Friday,6,8309067.0,2.431787750483322,3009531.5,0.014247407282708176,0.20213084769522374,0.10714285714285714,0.10808450045435508
biology,Wednesday,4,7324404.25,2.548678524227134,2529156.0,0.012556536026141006,0.21592350343215322,0.03571428571428571,0.10638744632766096
physics,Thursday,8,1310085.875,2.3429390557154073,1299208.5,0.0022286973137176187,0.19164704798751372,0.17857142857142858,0.10510122824269696
mukbang,Saturday,5,23425399.2,2.18616259010649,11235146.0,0.0402053016193232,0.173148036059202,0.07142857142857142,0.1031518590981935
marvel,Friday,3,10066626.666666666,2.507377910003748,9904507.0,0.017265503704115854,0.2110501919169486,0.0,0.10274206302947901
lofi,Friday,5,3094675.4,2.4567973589721883,632477.0,0.005293209637955902,0.20508188402558752,0.07142857142857142,0.10181164929145169
finance,Saturday,5,397832.0,2.471605414330928,29751.0,0.0006621671937049338,0.20682917684567037,0.07142857142857142,0.10051396196057603
history,Sunday,7,2330802.714285714,2.2903257535085184,962507.0,0.003981480959328571,0.18543888337981673,0.14285714285714285,0.09952487823832967
history,Saturday,6,1397438.3333333333,2.369261754634226,575667.5,0.002378699698784297,0.19475302387103235,0.10714285714285714,0.09942356132070321
cubes,Saturday,10,9604718.6,1.9701008353038045,2120380.0,0.01647231123989074,0.14765359106184334,0.25,0.09885665603578034
literature,Sunday,3,369733.0,2.55499970124589,311071.0,0.0006139153517029073,0.2166693776844956,0.0,0.09777748186628933
asmr,Thursday,3,11315760.333333334,2.379012229044387,10008290.0,0.019410526670179135,0.19590354185037123,0.0,0.09689133083424767
finance,Monday,5,34349.4,2.402515585059576,22593.0,3.799177871914071e-05,0.1986768462592417,0.07142857142857142,0.09656453425993952
apple,Saturday,7,200617.7142857143,2.216879978091715,189956.0,0.0003235091434245598,0.17677256812489325,0.14285714285714285,0.0939789490564573
machine learning,Monday,7,2580798.1428571427,2.135463467907455,386360.0,0.004410775237440158,0.1671657372321928,0.14285714285714285,0.09149514489704913
finance,Sunday,5,811127.8,2.2943392751200404,32926.0,0.0013718822597820592,0.18591246328785785,0.07142857142857142,0.09142081263929511
mathchemistry,Tuesday,4,978150.75,2.3289710001733512,129642.5,0.0016586954913601357,0.18999887187202205,0.03571428571428571,0.08981733388495057
mukbang,Friday,3,80045853.0,1.2427309063045626,79941868.0,0.13743442688501384,0.061826774258755185,0.0,0.08966754051469607
sports,Monday,12,20281894.166666668,1.4623395096101455,7132476.0,0.03480724801595743,0.08773973355612802,0.32142857142857145,0.0872889988502956
mukbang,Sunday,3,6255464.666666667,2.2568924505737433,1385264.0,0.010720943873939433,0.1814938839349633,0.0,0.08649667251400622
bed,Thursday,8,14220816.25,1.794127050315047,2284786.5,0.02439911342052798,0.126889370265479,0.17857142857142858,0.085936960515846
interview,Friday,8,4918836.5,1.9054667610513665,3863825.0,0.0084256746076503,0.14002702220198748,0.17857142857142858,0.08466085642147986
education,Monday,5,1232515.4,2.126246250829549,940004.0,0.002095492633703307,0.16607814153976688,0.07142857142857142,0.08282099252091873
news,Sunday,4,129624.25,2.1178473728965317,135404.5,0.00020159856219779742,0.16508710667707963,0.03571428571428571,0.07795134592910341
animals,Wednesday,5,41362357.6,1.4357732978883448,7108897.0,0.07100679927809121,0.08460502411091336,0.07142857142857142,0.0771681776679092
