Title,Video ID,Published At,Keyword,Likes,Comments,Views,Year,Month,Day,Day_of_Week,Engagement_Rate,Like_Rate,Comment_Rate,Total_Comments,Total_Comment_Likes,Avg_Sentiment
Morning News NOW Full Broadcast - Aug. 23,zvS8Fmxv1_U,2022-08-23,news,1167.0,180.0,235019.0,2022,8,23,Tuesday,0.5731427112586163,0.49655348480980344,0.07658922644881287,10,45.0,1.0
Biden plans to forgive $300 billion in student loan debt: Report,OTFKyW-vc_Y,2022-08-24,news,1573.0,2670.0,60528.0,2022,8,24,Wednesday,7.009863040856448,2.5987543161129376,4.411108724743511,10,540.0,0.6
ABC News Live: Trump files motion to bar review of materials seized from Mar-a-Lago,IH3DYzS4MdI,2022-08-23,news,1145.0,793.0,106127.0,2022,8,23,Tuesday,1.826096788783356,1.078885873661993,0.7472109151213628,10,1062.0,0.3
More than 100 classified Trump docs recovered from Mar-a-Lago in January,q7sXUpqA_X4,2022-08-23,news,474.0,1553.0,75301.0,2022,8,23,Tuesday,2.6918275743008153,0.6294653528458739,2.0623622214549413,10,222.0,0.3
"National Shutdown | Workers hit the streets over rising cost of living: Pretoria, GP",NS-9bd2hOOQ,2022-08-24,news,82.0,26.0,17145.0,2022,8,24,Wednesday,0.6298845211711186,0.47824565496325677,0.1516388662078619,10,17.0,0.4
JORNAL DA MANHÃ - 24/08/2022,0IH09JBETbI,2022-08-24,news,23828.0,47.0,500097.0,2022,8,24,Wednesday,4.774064283400453,4.764666125439414,0.009398157961039636,10,32.0,1.0
Trump legal team trying to stop Department of Justice from reviewing records seized from Mar-a-Lago,lX3EBSNjPII,2022-08-23,news,775.0,1517.0,127082.0,2022,8,23,Tuesday,1.803545714218267,0.6098376651479742,1.1937080490702927,10,506.0,0.6
Netanyahu: This will make the Middle East a nuclear powder keg,Tey5qEth4oA,2022-08-24,news,8484.0,2192.0,237313.0,2022,8,24,Wednesday,4.498681072334544,3.575010323874698,0.9236707484598464,10,1950.0,0.4
Nightly News Full Broadcast - Aug. 19,L5p4Nov0KkU,2022-08-20,news,7946.0,1559.0,905023.0,2022,8,20,Saturday,1.0502483912028853,0.8779877660702922,0.17226062513259316,10,348.0,0.9
"Americans Are Angry And Worried About U.S. Future, New NBC News Poll Shows",MSTmUJU48g4,2022-08-21,news,510.0,560.0,34715.0,2022,8,21,Sunday,3.0821523216960482,1.4690632561354995,1.6130890655605485,10,204.0,0.1
Breaking News: Jharkhand के CM Hemant Soren के करीबी पर ED ने कसी नकेल | Prem Prakash | Ranchi News,Sdm1WsGGU0w,2022-08-24,news,129.0,7.0,10642.0,2022,8,24,Wednesday,1.2778351968429955,1.2120642675937237,0.06577092924927182,3,3.0,1.0
Zee Hindustan Live News: Attack On Nitish Kumar Convoy | Bihar News | Tejashwi Yadav |Bihar Politics,XHKojSQxTs0,2022-08-24,news,1288.0,3.0,172513.0,2022,8,24,Wednesday,0.7483450618500528,0.7466060725506336,0.0017389892994191774,3,0.0,0.3333333333333333
【ライブ】最新ニュース：ウクライナ侵攻から半年/ロシア軍ミサイル攻撃の可能性/プーチン氏に近い思想家の娘 爆発死/サルVS山羊/渋谷ホテルで火災/母娘刺傷続報　など（日テレNEWSLIVE）,voU9-39bicg,2022-08-24,news,257.0,1.0,62189.0,2022,8,24,Wednesday,0.41485769416304874,0.4132497186042772,0.0016079755587715065,1,0.0,1.0
අද දෙරණ 6.55 ප්‍රධාන පුවත් විකාශය -  2022.08.24| Ada Derana Prime Time News Bulletin,88w5Q03Lcro,2022-08-24,news,612.0,18.0,60835.0,2022,8,24,Wednesday,1.0355710434611085,1.0059832993622198,0.029587744098888813,9,5.0,1.1111111111111112
"Najib ke penjara, Mahkamah Persekutuan kekal sabitan",B0ga0OUkb9c,2022-08-23,news,2385.0,1349.0,288722.0,2022,8,23,Tuesday,1.2932811033412648,0.826051267131472,0.4672298362097928,10,1020.0,1.1
Deadly car bomb detonates outside Moscow,--hxd1CrOqg,2022-08-22,news,6379.0,4853.0,808787.0,2022,8,22,Monday,1.3887446401281918,0.7887110095599836,0.6000336305682082,10,446.0,0.2
Jail for Najib as Federal Court upholds ex-PM’s conviction,o3TQPM5OkEU,2022-08-23,news,1009.0,451.0,127803.0,2022,8,23,Tuesday,1.1423742605865232,0.789490156802604,0.35288410378391916,10,770.0,1.1
Potential mass shooting foiled in Washington state,lHDn25SLgdk,2022-08-22,news,5630.0,1848.0,533947.0,2022,8,22,Monday,1.4005109111748708,1.0544097927138971,0.3461011184609737,10,5985.0,1.3
🔴 හිරු රාත්‍රී 6.55 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය - Hiru TV NEWS 6:55 PM Live | 2022-08-24,kSKxCN8M-WE,2022-08-24,news,686.0,18.0,56683.0,2022,8,24,Wednesday,1.2419730435396232,1.2102180509491214,0.03175499259050173,10,19.0,1.0
Nightly News Full Broadcast - Aug. 18,fHCk3o_5l7o,2022-08-19,news,7277.0,1294.0,796750.0,2022,8,19,Friday,1.0757438647708004,0.9133342788399387,0.16240958593086172,10,653.0,1.0
Morning News NOW Full Broadcast - Aug. 19,8NL6YyEW2ww,2022-08-19,news,695.0,121.0,159877.0,2022,8,19,Friday,0.5103891717434544,0.4347064636785549,0.07568270806489948,10,55.0,0.8
Ukraine&#39;s Crimean fightback having &#39;psychological impact&#39; on Russia - BBC News,uDSR4wV_zno,2022-08-20,news,15854.0,5373.0,1465011.0,2022,8,20,Saturday,1.4489301111526731,1.0821754361056428,0.36675467504703035,10,2233.0,1.1
"Dobol B TV Livestream: August 22, 2022 - Replay",f2TK2lpFFzs,2022-08-22,news,1030.0,10.0,187892.0,2022,8,22,Monday,0.5535065170070199,0.5481843389588755,0.005322178048144423,8,5.0,1.25
🔴 Live at 8 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,8Vqj8Ls29HI,2022-08-24,news,198.0,12.0,17763.0,2022,8,24,Wednesday,1.1821661787885611,1.1146138257149292,0.06755235307363207,10,1.0,1.2
Nightly News Full Broadcast - Aug. 17,uVmNImDu0rQ,2022-08-18,news,7342.0,1531.0,932432.0,2022,8,18,Thursday,0.9515965222166097,0.7874024192622956,0.16419410295431414,10,196.0,1.1
UP News: कहा गायब हो गया Abbas Ansari ? 7 राज्यों में पुलिस की आधा दर्जन टीमें कर रही तलाश,_JGrWrwOoD8,2022-08-23,news,286.0,22.0,23135.0,2022,8,23,Tuesday,1.3312586445366528,1.2361687413554634,0.09508990318118948,10,10.0,1.1
Daughter of Russian ultra-nationalist killed in suspected car bomb attack,hPy7QFsTaLw,2022-08-21,news,2083.0,2195.0,164119.0,2022,8,21,Sunday,2.6066292956373385,1.2691932732147209,1.3374360224226176,10,1066.0,0.2
18 Million Under Flood Alerts Nationwide,s-XXxzZCkLg,2022-08-21,news,1728.0,665.0,212973.0,2022,8,21,Sunday,1.1236113328387503,0.8113666456938405,0.3122446871449097,10,372.0,0.9
